,,,,,,,,,,,,,
IE411,01,3,2,ICTE,,,,,,,,,
IE411,11,1,1,MTGE-T,,,,,,,,,
IT112,01,1,1,Core,,,,,,,,,
IT112,04,1,1,Core,,,,,,,,,
IT113,01,1,1,Core,,,,,,,,,
IT113,04,1,1,Core,,,,,,,,,
IT205,01,1,2,Core,,,,,,,,,
IT205,04,1,2,Core,,,,,,,,,
IT206,01,1,2,Core,,,,,,,,,
IT206,04,1,2,Core,,,,,,,,,
IT214,01,2,2,Core,,,,,,,,,
IT216,01,2,1,Core,,,,,,,,,
IT227,01,2,1,Core,,,,,,,,,
IT304,01,3,1,Core,,,,,,,,,
IT314,01,3,1,Core,,,,,,,,,
IT412,01,3,2,TE,,,,,,,,,
IT412,01,4,2,TE,,,,,,,,,
IT412,11ML,1,2,MTSE-ML,,,,,,,,,
IT412,18,1,2,MSDS-TE,,,,,,,,,
IT414,01,4,1,TE,,,,,,,,,
IT414,11SS,2,1,MTSE-SS,,,,,,,,,
IT414,12,2,1,MSIT-TE,,,,,,,,,
IT422,01,2,2,TE,,,,,,,,,
IT422,01,3,2,TE,,,,,,,,,
IT422,01,4,2,TE,,,,,,,,,
IT449,01,3,2,TE,,,,,,,,,
IT449,01,4,2,TE,,,,,,,,,
IT449,03,3,2,MnCE,,,,,,,,,
IT449,03,4,2,MnCE,,,,,,,,,
IT486,01,4,1,TE,,,,,,,,,
IT486,03,4,1,MnCE,,,,,,,,,
IT486,11SS,2,1,MTSE-SS,,,,,,,,,
IT489,01,4,1,TE,,,,,,,,,
IT489,11SS,2,1,MTSE-SS,,,,,,,,,
IT490,11,1,1,MTGE-T,,,,,,,,,
IT491,01,3,2,TE,,,,,,,,,
IT491,01,4,2,TE,,,,,,,,,
IT491,01CS,3,2,TE,,,,,,,,,
IT491,01CS,4,2,TE,,,,,,,,,
IT492,01,3,2,TE,,,,,,,,,
IT492,01,4,2,TE,,,,,,,,,
IT492,01CS,3,2,TE,,,,,,,,,
IT492,01CS,4,2,TE,,,,,,,,,
IT492,03,3,2,MnCE,,,,,,,,,
IT492,03,4,2,MnCE,,,,,,,,,
IT492,11ML,1,2,MTSE-ML,,,,,,,,,
IT492,18,1,2,MSDS-TE,,,,,,,,,
IT494,01,4,1,TE,,,,,,,,,
IT494,01CS,4,1,CS Technical Elective,,,,,,,,,
IT494,01CS,4,1,CS Technical Elective,,,,,,,,,
IT494,03,4,1,MnCE,,,,,,,,,
IT494,03,4,1,MnCE,,,,,,,,,
IT494,11ML,2,1,MTSE-ML,,,,,,,,,
IT495,01,3,2,TE,,,,,,,,,
IT495,01,4,2,TE,,,,,,,,,
IT495,03,3,2,MnCE,,,,,,,,,
IT495,03,4,2,MnCE,,,,,,,,,
IT495,18,1,2,MSDS-TE,,,,,,,,,
IT496,01,4,1,TE,,,,,,,,,
IT496,03,4,1,MnCE,,,,,,,,,
IT498,01,4,1,TE,,,,,,,,,
IT499,01,4,1,TE,,,,,,,,,
IT504,01,3,2,TE,,,,,,,,,
IT504,01,4,2,TE,,,,,,,,,
IT504,03,3,2,MnCE,,,,,,,,,
IT504,03,4,2,MnCE,,,,,,,,,
IT504,11SS,1,2,MTSE-SS,,,,,,,,,
IT524,11ML,2,1,MTSE-ML,,,,,,,,,
IT531,11SS,2,1,MTSE-SS,,,,,,,,,
IT544,01,3,2,TE,,,,,,,,,
IT544,01,4,2,TE,,,,,,,,,
IT544,11SS,1,2,MTSE-SS,,,,,,,,,
IT546,01,3,2,TE,,,,,,,,,
IT546,01,4,2,TE,,,,,,,,,
IT546,11SS,1,2,MTSE-SS,,,,,,,,,
IT550,11ML,2,1,MTSE-ML,,,,,,,,,
IT558,11ML,1,2,MTSE-ML,,,,,,,,,
IT558,11SS,1,2,MTSE-SS,,,,,,,,,
IT559,01,3,2,TE,,,,,,,,,
IT559,01,4,2,TE,,,,,,,,,
IT559,03,3,2,MnCE,,,,,,,,,
IT559,03,4,2,MnCE,,,,,,,,,
IT559,11SS,1,2,MTSE-SS,,,,,,,,,
IT561,01,3,2,TE,,,,,,,,,
IT561,01,4,2,TE,,,,,,,,,
IT561,11SS,1,2,Core,,,,,,,,,
IT580,11SS,1,1,Core,,,,,,,,,
IT582,11ML,1,1,Core,,,,,,,,,
